닭고기,육류,냉장,3
닭가슴살,육류,냉장,3
닭다리,육류,냉장,3
닭날개,육류,냉장,3
닭안심,육류,냉장,3
닭똥집(근위),육류,냉장,2
돼지고기(불고기),육류,냉장,3
돼지고기(찌개),육류,냉장,3
돼지고기(다짐육),육류,냉장,2
삼겹살,육류,냉장,3
목살,육류,냉장,3
갈비(돼지),육류,냉장,3
족발(조리),가공육,냉장,2
보쌈(조리),가공육,냉장,2
곱창(돼지),육류,냉장,2
막창(돼지),육류,냉장,2
소고기(국거리),육류,냉장,5
소고기(구이),육류,냉장,5
소고기(다짐육),육류,냉장,2
갈비(소),육류,냉장,3
차돌박이,육류,냉장,2
안심(소),육류,냉장,4
등심(소),육류,냉장,4
곱창(소),육류,냉장,2
오리고기,육류,냉장,2
훈제오리,가공육,냉장,10
양고기,육류,냉장,2
계란,난류,냉장,45
메추리알,난류,냉장,30
햄,가공육,냉장,14
소시지,가공육,냉장,10
베이컨,가공육,냉장,7
스팸,가공육,실온,1095
런천미트,가공육,실온,1095
고등어,수산물,냉장,2
갈치,수산물,냉장,2
조기,수산물,냉장,2
삼치,수산물,냉장,2
연어,수산물,냉장,2
꽁치,수산물,냉장,2
장어,수산물,냉장,2
아귀,수산물,냉장,2
문어,수산물,냉장,3
낙지,수산물,냉장,2
주꾸미,수산물,냉장,2
오징어,수산물,냉장,2
멍게,수산물,냉장,2
해삼,수산물,냉장,2
새우,수산물,냉장,2
새우(냉동),수산물,냉동,180
꽃게,수산물,냉장,2
꽃게(냉동),수산물,냉동,180
굴,수산물,냉장,2
바지락,수산물,냉장,2
꼬막,수산물,냉장,2
홍합,수산물,냉장,2
전복,수산물,냉장,3
관자,수산물,냉장,3
어묵,가공수산물,냉장,10
맛살,가공수산물,냉장,17
멸치,건어물,실온,365
미역(건),건어물,실온,365
다시마(건),건어물,실온,365
김(조미김),건어물,실온,180
김(날김),건어물,실온,365
북어채,건어물,실온,180
오징어(건),건어물,실온,180
황태,건어물,실온,365
참치캔,가공수산물,실온,1825
꽁치캔,가공수산물,실온,1825
골뱅이캔,가공수산물,실온,1825
새우젓,젓갈,냉장,180
멸치액젓,젓갈,실온,730
까나리액젓,젓갈,실온,730
명란젓,젓갈,냉장,10
창란젓,젓갈,냉장,10
오징어젓,젓갈,냉장,10
날치알,젓갈,냉동,180
대파,채소,냉장,7
쪽파,채소,냉장,7
실파,채소,냉장,7
부추,채소,냉장,5
양배추,채소,냉장,10
배추,채소,냉장,10
배추(알배기),채소,냉장,10
상추,채소,냉장,5
깻잎,채소,냉장,5
시금치,채소,냉장,5
콩나물,채소,냉장,4
숙주나물,채소,냉장,4
청경채,채소,냉장,5
미나리,채소,냉장,5
양상추,채소,냉장,7
샐러리,채소,냉장,10
로메인,채소,냉장,7
케일,채소,냉장,7
쑥갓,채소,냉장,5
돌나물,채소,냉장,4
쑥,채소,냉장,4
고춧잎,채소,냉장,5
열무,채소,냉장,7
아스파라거스,채소,냉장,7
샐러드채소(믹스),채소,냉장,3
양파,채소,실온,14
마늘,채소,냉장,14
다진마늘,채소,냉장,10
감자,채소,실온,10
고구마,채소,실온,14
당근,채소,냉장,14
애호박,채소,냉장,7
쥬키니,채소,냉장,7
단호박,채소,실온,30
고추(청양),채소,냉장,7
고추(일반),채소,냉장,7
